"","X52689","X52673","X52477","X52716","X52475","X52748","X52603","X19142","X19130","X52625","X20675","X52710","X27665","X52453","X52687","X48258","X35628","X45968","X52462","X52464","X42446","X42449","X52461","X19263","X52448","X52669","X19261","X52470","X52616","X33955","X45970","X52447","X52449","X52235","X52452","X52446","X52438","X42448","X52623","X19265","X43761","X52281","X32197","X31787","X531","X542","X27672","X15677","X37202","X21133","X18319","X1419","X1494","X48569","X32198","X46173","X555","X35142","X32342","X1126","X1107","X46537","X54738","X528","X48885","X48255","X1638","X32354","X512","X443","X18362","X15778","X55","X54923","X3141","X32412","X569","X15500","X48782","X63","X15506","X34396","X1564","X2132","X553","X27718","X513","X1868","X35159","X514","X37465","X2959","X2372","X36747","X5086","X37459","X1552","X42420","X40459","X48195","X15587","X1643","X33934","X2730","X48152","X57","X53","X396","X27727","X2127","X1572","X43847","X37455","X48857","X47155","X15990","X58","X53013","X1573","X39786","X41754","X21248","X15753","X59","X33009","X38661","X590","X3127","X15716","X27513","X1123","X1125","X34407","X527","X53010","X34534","X60","X35661","X57330","X1301","X1303","X20676","X15586","X44688","X46142","X38306","X18374","X34386","X48429","X15745","X18037","X34109","X1124","X40469","X1498","X1585","X22185","X46539","X15720","X27710","X32377","X37076","X33939","X33080","X594","X52604","X44877","X54979","X33936","X46798","X46799","X1493","X1505","X52434","X37506","X44681","X40461","X36103","X32553","X35126","X64","X42109","X1600","X1510","X1444","X52913","X1898","X32452","X33442","X1408","X46225","X18335","X1899","X27731","X21151","X1515","X32398","X1648","X485","X603","X48490","X48493","X42459","X52437","X17747","X34384","X19503","X1437","X1519","X46960","X2125","X18392","X18394","X53231","X27738","X1284","X53241","X32306","X32401","X40406","X54","X37097","X1299","X1604","X1670","X606","X1649","X3147"
"zr1429.29",0,0,0,0,0,0,0,0,3310278,0,212679,0,209505,105546,0,0,0,0,507884,0,1595691,0,1468185,0,0,0,0,464392,86428,0,0,0,0,0,910447,0,208535,0,0,0,93519,399612,21016,81867,126272,468417,0,0,0,753187,0,0,845089,0,6074937,105457,7873735,0,3885362,4531876,61275,142520,0,208843,0,0,6956766,0,3146322,6502464,0,286089,0,514700,10650819,0,11113555,19212020,0,0,5405851,10290430,1581168,2791407,0,12700750,6837740,0,98424,0,196474,204331,0,790453,0,48257,0,1162632,0,0,0,133351,0,60812,5464804,12603834,9423133,0,282140,96796,298621,73497,0,154975,0,3632138,2607012,0,629424,288524,240111,0,61085,5525741,0,0,47616,1447680,0,0,6263063,6180000,0,4430400,0,0,5017391,11776992256,0,3011567,820792,753027,158962,0,152100,0,331687,24016462,235772,80051,0,0,1736097,886006,0,0,134912,0,0,0,195591,491776,106160,8113529,977535,0,0,0,0,0,50918,5046723,0,0,555135,0,0,131248,0,47158,4060744,415023,484322,0,0,0,9224102,0,0,0,2321304,225668,30829,0,0,102516,0,1281226,0,0,0,0,0,0,118500,2326399,0,1774620,1435182,2513644,12322648,2964019,258557,657070,349616,937077,0,2015178,361500,41566,995658,153098,56954,1284119,931553,196509,4101329,92934
"zr1429.30",91701,407726,170898,147718,284272,0,799588,245552,76494720,137501,205091,99472,67525,1973821,513444,68420,46909,85685,1271344,111673,10256512,266593,15228343,315808,900214,27428,0,10744488,2342739,126408,68739,245991,0,163516,4226703,568944,971663,160940,352729,789705,57715,256575,47609,94446,0,130055,38390,0,42057,590787,0,0,1241537,0,5554489,164425,715281,50868,390622,5476385,0,0,0,267326,0,0,8101196,0,4124593,7879715,218766,179047,451125,1624145,62676580,434088,802281,20271472,97716,1379091,36838440,20054738,1217413,1371109,0,14642562,6690071,246295,418924,45233,119886,716058,136585,472223,0,450794,0,1187281,0,0,64923,143765,0,0,5419642,21476560,10367558,0,643228,139112,313635,280607,646296,1073850,26526,12852820,2677993,159115,9785997,546044,167166,1129237,87418,5289101,0,0,0,5819816,0,0,46935736,6890436,0,3829769,0,0,4617536,10880699392,217301,2951218,2063731,1606747,429733,403773,216559,0,173799,2077857,163870,0,0,0,1943073,804421,0,130970,375535,233933,0,0,426249,565782,128452,8012606,3004795,66779,697340,335235,0,0,59900,3591686,0,0,1879128,0,0,349155,45881,0,4150756,1169331,1030374,120903,503520,0,13089465,479769,0,0,671756,0,273480,115291,0,170572,0,1661557,871395,586943,0,0,0,80060,419468,360788,208962,5227666,4656999,2832142,20245222,3800891,93216,1566850,365907,1402941,0,2939430,388106,0,970776,211161,71202,1430473,1387482,909579,6728253,166301
"zr1429.31",0,216630,0,0,74444,0,495826,79730,57948512,109567,194660,0,0,2233812,303808,0,0,0,1261613,79685,7961229,170259,12316076,252495,697710,0,0,9243275,1890703,31680,0,147094,0,94910,3455726,434591,862015,0,0,0,0,140674,0,84367,150800,0,19254,253639,28696,505195,0,0,622310,0,5981662,102206,2754267,0,6965608,4029248,0,0,0,319577,0,0,7819486,0,3463516,6296985,0,0,0,1313466,51553400,0,1048468,21129402,67262,1355861,33717752,17153916,1135037,713759,0,6289510,5513306,159537,250925,29855,133371,465595,215802,631176,0,398408,0,1344406,0,0,0,0,0,0,4595361,17287848,8191484,0,462075,158857,291734,295005,525789,1167992,0,12762097,1654071,0,1828982,1010513,83096,0,78527,5254819,104630,0,96786,2016296,0,0,25621708,5364950,0,2438663,0,0,3567445,4424864768,0,2801194,1429235,1764935,212171,476276,118562,0,191234,639007,128954,207595,0,0,1786511,676059,0,0,375044,129982,44229,181610,278481,522455,176744,2758209,1326849,0,0,55788,0,33134,47811,3759376,0,0,1380392,0,0,262579,52013,0,3633749,792385,844981,76809,0,0,8754338,323857,0,0,407410,151466,154387,68264,0,139363,0,1047064,295712,613144,0,0,0,0,327653,240979,132468,2279243,6621658,3160859,17582578,1474430,70024,1055163,544629,842622,0,2867989,601204,59229,801017,123902,41340,1152457,538497,353660,3438650,74883
"zr1429.32",0,350204,167593,158843,217147,0,516276,323287,75839232,104559,467049,0,0,1899638,465642,0,27281,59858,1216762,112939,9592348,270594,15915134,386579,986686,29207,49152,12247858,2357446,71976,0,241853,44252,142739,4014821,616590,1157161,233300,411555,794242,0,0,0,71964,127407,73345,23384,0,51162,304430,0,0,787812,0,4534262,83145,5418356,0,2442546,3843816,0,0,0,241227,0,0,6371333,0,3414531,5531402,88987,0,0,1052115,47930936,0,0,13616681,0,1228980,34515916,15459222,2491942,1157180,0,10442060,5684904,100402,308216,23667,131925,433228,176701,582231,0,256012,0,1180300,0,0,0,110563,0,0,4405403,13545143,8049043,0,582248,38936,363800,203271,249764,831376,17449,8603901,2030460,92130,3684038,611435,235722,0,73434,4514267,108901,0,84098,2976647,0,0,34582064,5684700,0,3096950,0,0,3848632,2187869440,89836,2057605,1175376,1809578,194973,321726,121863,0,223982,371267,92137,76229,0,0,1445622,687761,0,116049,269820,69291,0,0,331704,427571,120384,2460021,1586864,52973,607651,245014,0,59304,78888,3924241,0,33579,1601175,86123,0,289036,50148,0,3294560,663336,677928,83313,0,0,8691931,531875,0,0,456339,60036,196142,22670,0,100019,0,1147715,249928,0,0,0,0,124626,249248,146720,155678,4166974,5993640,2899621,15624471,0,85363,687449,340608,1007789,0,3166120,145692,0,692222,0,54740,1167554,896504,389025,4612377,80884
"zr1429.33",0,0,0,0,0,0,0,0,3336906,0,0,0,0,148778,0,0,0,0,408190,0,1611158,0,1303277,0,0,0,0,668422,46561,0,0,0,0,0,879042,0,165416,0,0,0,0,0,0,0,0,0,0,0,0,238434,0,0,547238,0,1716886,0,4688560,0,2540380,2132008,0,0,0,112610,0,0,6364338,0,2287283,4736093,138719,0,0,609452,0,122797,449228,4420810,0,0,2625269,6862292,657468,2970054,0,9987962,2557993,0,86873,0,61315,64262,0,0,0,50867,0,340180,0,0,0,0,0,0,3105411,7988226,4312297,0,607082,0,291628,62054,0,0,0,1471259,2112479,0,769801,165940,0,0,87115,5267418,0,0,0,3813762,0,0,10026585,5343895,0,2928675,0,0,4004626,6594394112,0,2595753,25077,2048465,161609,0,182855,0,701855,34862924,83548,0,0,0,967936,264489,0,0,59193,161170,0,0,0,312189,0,1835527,312639,0,0,0,0,0,0,5118308,31287,0,369750,0,0,213299,0,97910,3566110,0,233490,51962,0,0,4298091,0,0,0,360975,245167,0,0,0,105554,0,990824,155928,0,0,0,0,0,127167,202240,0,2385182,6413463,3107791,11360969,1350888,62192,0,68588,915241,0,599554,731326,0,733598,0,44986,232783,284154,210722,4962583,108619
"zr1429.34",0,0,0,0,0,0,0,0,2770637,0,145798,0,0,151734,0,0,0,0,507355,0,1534578,0,1343545,0,0,0,0,472990,82719,0,0,0,0,0,1016922,0,206503,0,0,0,97788,0,0,0,0,110731,0,0,0,333440,0,0,556471,0,1893791,0,3118646,0,3358026,1469673,0,0,0,128701,0,0,4592356,0,1340693,8035328,0,0,0,734188,5914477,0,0,6055565,0,0,3743060,6267529,653311,1004471,0,13271502,2133438,0,0,0,0,0,0,0,0,91881,0,459156,0,0,0,0,0,0,2236736,7715383,5102163,0,663899,0,300768,77402,0,77987,0,3622965,2984340,0,109371,99225,0,0,0,4470838,0,0,0,698132,0,0,1306449,3745448,0,4751284,0,0,2951332,4883589632,0,1908265,575705,2081328,0,0,923518,0,218048,5039088,39073,126953,0,0,2128232,184972,0,0,75893,100756,0,0,0,161274,71905,1633922,189678,0,0,0,0,0,0,4551388,0,0,480233,0,0,192131,27589,0,2591614,396986,374580,0,0,0,3048023,295516,0,0,0,32573,0,56374,0,0,0,1104063,0,0,0,0,0,0,132989,670277,0,1868047,6661840,2923532,11176439,0,0,0,236743,707661,0,1141150,0,0,552018,0,0,148769,230627,121032,4974103,45795
"zr1429.35",0,154161,61807,0,94726,0,101698,0,5971296,0,302640,0,0,236524,0,0,0,0,680233,0,2337886,0,2144941,0,0,0,0,1072547,212106,0,0,102308,0,0,1580812,127530,389612,0,0,0,59571,85635,0,0,0,322948,50738,0,0,910351,0,0,1275344,0,4078877,61892,13536007,0,5141407,6553050,0,0,0,233964,0,0,8282856,0,4139889,10331676,124473,154339,0,1424562,15478664,0,883383,16109732,0,0,10670939,16069150,1246860,2484516,0,26587874,6343727,0,200145,0,168363,232400,84022,652079,0,675342,0,888557,0,0,0,135034,0,88065,6818729,16343728,13620428,0,761453,174808,320121,159349,0,242376,0,6301068,5009106,88729,1957865,568447,0,0,97257,5472654,0,0,138855,2442363,0,28863,19954404,6583215,118343,7108125,0,0,5061690,11819973632,0,3249660,1102984,1944132,199763,0,339648,0,464051,7713891,135519,140495,0,0,2885282,579572,0,0,212083,246032,0,201988,0,484190,179912,4919999,1066776,0,286205,192252,0,0,0,6303272,0,0,654228,62835,0,703407,129147,428568,4518055,898442,674902,0,496459,0,11497490,464981,47358,0,193899,115849,0,0,0,187087,0,2521564,427968,0,0,0,0,0,138184,506663,0,2512967,7996809,3048011,20356508,3066714,65286,325007,361899,1840445,0,3974859,284670,124327,1065376,0,74868,924187,1305765,445415,5876424,88850
"zr1429.36",0,195573,119334,0,133587,0,136896,0,12581217,0,118223,0,83334,620306,0,0,0,0,958336,0,3157688,0,4087166,97841,0,0,0,1881683,557238,0,0,160806,0,0,2108463,221803,556497,72989,0,486419,0,43913,32674,0,119301,145747,30088,0,0,345372,2304740,0,1008673,0,3457247,0,7798327,0,9197365,4272515,0,0,0,359823,0,0,8353724,0,4026075,15260254,119267,0,0,1603930,10977632,0,246005,13651221,0,1393663,10535852,18287892,1196048,2487999,0,35548476,5303848,111504,188897,26842,140826,340982,111937,549324,0,1783459,0,810348,0,0,0,117371,0,81174,5528276,18593132,14287227,0,970175,223015,343382,161502,465919,183105,0,8432999,6361050,177499,896396,585501,3668322,0,116580,5338318,0,0,207968,2190194,0,0,14383245,6038087,0,1715093,170830,0,4522783,3221986560,83878,3534699,2315431,1850088,193453,0,277129,0,348860,2033384,99112,138195,0,0,4320186,321959,0,0,169971,265739,0,438341,183684,351116,196604,3987362,1477300,672416,757613,549636,0,48557,97795,4878282,53010,69694,1342677,72352,0,459376,65151,111716,3855069,1021683,957054,329380,0,0,10294033,496679,0,110282,472295,109889,0,0,0,0,0,2619297,1292672,0,117066,61483,0,158068,239573,1089224,186413,4061508,6708876,3033001,24715964,0,0,879748,404804,1663198,0,3037367,410623,128786,888867,0,69445,603182,1006980,464335,8412340,108070
"zr1429.37",0,0,0,0,0,0,0,0,4369533,0,260404,0,0,138641,0,0,0,0,274121,0,1068220,0,1152573,0,0,0,0,582346,137766,0,0,0,0,0,611993,0,114775,0,0,0,81004,0,0,0,0,134991,0,0,0,219428,0,0,735295,96280,1642439,95616,1500748,0,714122,2212055,0,0,0,133464,0,0,4421185,0,1397525,2904412,146716,0,0,205136,5908134,0,0,3353069,0,0,4566044,1931183,3310728,1117569,0,5158167,2720541,0,0,0,0,0,0,281487,0,0,0,764868,0,62088,0,124666,0,0,3134306,2768242,3409382,125957,0,0,291233,0,0,105494,0,1432846,1489664,0,0,53488,98636,0,40995,4553506,87390,0,0,795919,0,0,393143,5051652,0,2795365,0,0,2229830,1653490176,0,1271888,416770,2044839,96460,0,380572,0,193286,2375036,32531,0,0,0,736656,237301,0,0,78776,0,0,0,0,316177,0,4058134,0,0,0,0,0,0,75871,4499539,0,0,277566,0,1744151,141143,0,0,2380828,227185,120553,51765,0,0,3755247,262489,0,0,0,0,0,0,75079,152422,0,1411883,0,0,0,0,0,0,127168,325115,0,1975884,6651247,3066846,4309360,344369,0,0,0,589973,0,930269,0,0,574695,144908,0,311784,217329,99605,0,0
"zr1429.38",0,329021,344317,0,208687,79845,165172,0,16093412,0,291423,0,182945,832053,116467,0,58755,0,694852,0,2717926,58305,3877252,141876,0,0,0,1922848,625629,35738,0,175658,0,0,1540138,266070,483904,72290,0,847772,92389,199025,0,0,0,0,0,0,0,690125,5133422,0,2652782,3662903,3880814,72305,16118127,0,350616,8772729,0,0,0,278811,312923,0,9365204,0,3494991,10471220,157552,0,0,1336903,20132100,0,0,10459745,0,1128627,11991197,19489612,1343895,4031654,0,38613708,6662379,0,211311,59517,125586,401760,159343,379493,0,162700,0,1002666,0,55809,466818,154221,0,89035,5220017,16406161,16713921,140244,824443,0,311897,251440,580221,323115,37564,8703596,5034213,504472,6806039,392677,488956,0,72888,5529010,0,0,86659,5491248,0,0,35972648,6200818,0,3167163,227249,0,4028111,12855762944,0,2860704,2565952,2007809,582957,205496,3205808,0,571502,16538863,81936,0,0,0,3510707,482297,0,118358,171878,379383,0,304461,772722,507829,167675,7672122,1161612,199744,2054313,878302,0,0,75451,4950175,44437,0,1184927,0,7902437,217787,29885,0,4013864,1201180,754346,72824,0,0,10253938,694842,0,145047,587923,0,43337,205089,3227736,121758,0,3227608,749673,0,58713,0,0,87750,270891,609090,172210,4902144,6339541,3085219,24987344,0,0,50908,210131,1704489,0,4664243,157665,209949,977080,588091,77033,891068,984999,891621,5561674,181783
"zr1429.39",0,71055,0,0,0,0,0,0,3809999,0,94184,0,120128,106698,0,0,0,0,241475,0,968546,0,1046295,0,0,0,0,512407,101259,0,0,0,0,0,493994,0,96311,0,0,141114,0,0,0,0,316770,0,0,216249,0,255000,3518932,0,1324663,1821813,2855501,43519,9507332,0,2766447,5914188,44895,0,0,209653,109565,0,6163430,0,2535700,9312867,208369,0,82610,599655,7654536,0,0,8012889,0,648099,7911622,13543834,844157,2433639,0,36993264,4931627,0,148460,34293,119136,239793,135696,420381,0,70182,0,745083,0,0,0,129199,0,0,3817643,11554131,11188057,0,744267,0,267929,145194,368420,116271,0,6056855,2760318,138425,1032704,339487,0,0,43178,4965026,0,0,105515,2831659,0,0,17251448,6695641,0,2241950,0,0,3274738,5849276416,0,2290366,1668887,1575326,746555,0,930000,0,427844,5042737,61370,224400,0,0,2259733,423564,0,0,111804,200459,0,0,453159,349604,0,3406544,343650,0,158370,192481,0,0,0,4979913,0,0,393938,0,3097341,294367,0,62022,4019566,820268,553886,58945,0,0,8690571,453589,0,166368,660514,0,0,0,12271724,310886,0,2015991,417359,0,0,0,0,0,164341,390531,0,2201742,4707467,2792997,19968184,1509974,0,103069,215827,1264002,0,1656391,0,91258,867118,264416,56467,819057,778673,493478,0,162941
